title,Location,details,Price,Description
"
4 bedroom house for sale in Ongata Rongai
,
 Lovely 4 BR houses in Ongata Rongai
","
Ongata Rongai, Kajiado North
","
2500 ft²
,
4
","
KSh 9,500,000
","
Lovely 4 BR houses in Ongata Rongai
,
4 bedroom house for sale in Ongata Rongai
"
"
4 bedroom house for sale in Kiambu Road
,
4 bedrooms town house for sale in Summer field ...
","
Njathaini road, Kiambu Road, Kiambu Road
","
4
","
KSh 37,000,000
","
4 bedrooms town house for sale in Summer field...
,
4 bedroom house for sale in Kiambu Road
"
"
3 bedroom townhouse for sale in Kitengela
,
3 BR Townhouse, Kitengela.
","
Kitengela, Kajiado North
","
1012 m²
,
3
","
KSh 9,800,000
","
3 BR Townhouse, Kitengela.
,
3 bedroom townhouse for sale in Kitengela
"
"
5 bedroom townhouse for sale in Kyuna
,
KYUNA CASILDA VILLAS
","
Kyuna, Westlands
","
5
","
KSh 95,000,000
","
KYUNA CASILDA VILLAS
,
5 bedroom townhouse for sale in Kyuna
"
"
5 bedroom house for sale in Thigiri
,
Five bedrooms House For Sale In Thigiri
","
Thigiri, Westlands
","
5
","
KSh 140,000,000
","
Five bedrooms House For Sale In Thigiri
,
5 bedroom house for sale in Thigiri
"
"
5 bedroom townhouse for sale in Syokimau
,
5 bedroom townhouses for sale at Syokimau
","
Syokimau, Syokimau, Syokimau, Athi River
","
5
","
KSh 19,000,000
 ","
5 bedroom townhouses for sale at Syokimau
,
5 bedroom townhouse for sale in Syokimau
"
"
4 bedroom townhouse for sale in Syokimau
,
Contemporary homes in Syokimau
","
Syokimau, Athi River
","
4
","
KSh 18,000,000
","
Contemporary homes in Syokimau
,
4 bedroom townhouse for sale in Syokimau
"
"
4 bedroom townhouse for sale in Loresho
,
4 Bedroom Exclusive Townhouse For Sale in Lores ...
","
Loresho Ridge, Loresho, Westlands
","
6500 ft²
,
4
","
KSh 132,000,000
","
4 Bedroom Exclusive Townhouse For Sale in Lores...
,
4 bedroom townhouse for sale in Loresho
"
"
4 bedroom house for sale in Ruiru
,
4 Bedroom Ultra Modern Mansion at Membly Estate
","
Ruiru, Ruiru
","
4
","
KSh 16,500,000
","
4 Bedroom Ultra Modern Mansion at Membly Estate
,
4 bedroom house for sale in Ruiru
"
"
4 bedroom house for sale in Mombasa Road
,
4-Bedroom House plus DSQ in Sabaki, Mombasa Roa ...
","
Sabaki, Sabaki, Mombasa Road, Mombasa Road
","
4
,
3
","
KSh 15,000,000
","
4-Bedroom House plus DSQ in Sabaki, Mombasa Roa...
,
4 bedroom house for sale in Mombasa Road
"
"
Furnished 5 bedroom house for sale in Spring Valley
,
5 Bedroom Townhouse For Sale In Spring Valley
","
SPRING VALLEY, -OFF LOWER KABETE , Spring Valley, Westlands
","
5
","
KSh 140,000,000
","
5 Bedroom Townhouse For Sale In Spring Valley
,
Furnished 5 bedroom house for sale in Spring Valley
"
"
3 bedroom villa for sale in Nyali Area
,
3 BEDROOM VILLA FOR SALE IN NYALI
","
Nyali, Nyali, Nyali Area, Nyali
","
1802 ft²
,
3
","
KSh 19,550,000
","
3 BEDROOM VILLA FOR SALE IN NYALI
,
3 bedroom villa for sale in Nyali Area
"
"
5 bedroom house for sale in Kitisuru
,
5 bedroom house for sale in Kitisuru (Kenya) - ...
","
Kitisuru, Westlands
","
5
","
KSh 88,000,000
","
5 bedroom house for sale in Kitisuru (Kenya) -...
,
5 bedroom house for sale in Kitisuru
"
"
5 bedroom house for sale in Runda
,
5 Bedroom House for Sale in Runda
","
Mimosa Drive, Runda, Westlands
 ","
6000 ft²
,
5
","
KSh 95,000,000
","
5 Bedroom House for Sale in Runda
,
5 bedroom house for sale in Runda
"
"
3 bedroom house for sale in Kiambu Road
,
Kiambu Road Villas
","
Kiambu Road, Kiambu Road
","
242 m²
,
3
","
KSh 32,250,000
","
Kiambu Road Villas
,
3 bedroom house for sale in Kiambu Road
"
"
5 bedroom townhouse for sale in Lavington
,
5bedroom house 70million
","
Lavington, Dagoretti North
","
 5
","
KSh 70,000,000
","
5bedroom house 70million
,
5 bedroom townhouse for sale in Lavington
"
"
5 bedroom house for sale in Red Hill
,
FIVE-BEDROOM HOUSE FOR SALE IN REDHILL VILLAS E ...
","
Redhill Villas Estate, Red Hill, Red Hill
","
5
","
KSh 29,900,000
","
FIVE-BEDROOM HOUSE FOR SALE IN REDHILL VILLAS E...
,
5 bedroom house for sale in Red Hill
"
"
5 bedroom townhouse for sale in Joska
,
All En-suite 5 Bedroom Maisonette in a Gated Es ...
","
Kangundo Road, Kangundo Road, Joska, Kangundo
","
230 m²
,
5
","
KSh 6,450,000
","
All En-suite 5 Bedroom Maisonette in a Gated Es...
,
5 bedroom townhouse for sale in Joska
"
"
Furnished 5 bedroom house for sale in Karen
,
5 Bedrooms/ dsq House For sale in Karen on 1/2 ...
","
Karen, Langata
","
5
","
KSh 80,000,000
","
5 Bedrooms/ dsq House For sale in Karen on 1/2...
,
Furnished 5 bedroom house for sale in Karen
"
"
6 bedroom house for sale in Runda
,
Brand New 6 Bedroomed Ambassadorial For Sale In ...
","
Runda, Westlands
","
2023 m²
,
6
","
KSh 189,000,000
","
Brand New 6 Bedroomed Ambassadorial For Sale In...
,
6 bedroom house for sale in Runda
"
"
4 bedroom house for sale in Ngong
,
Land for Sale - Ngong Kerarapon Drive
","
Kerarapon Drive, Ngong, Kajiado North
","
4
","
KSh 33,000,000
","
Land for Sale - Ngong Kerarapon Drive
,
4 bedroom house for sale in Ngong
"
"
5 bedroom townhouse for sale in Lower Kabete
,
5 Bedroom All En-suite Spacious Townhouses in A ...
","
Lower Kabete, Lower Kabete, Westlands
","
1012 m²
,
5
","
KSh 110,000,000
","
5 Bedroom All En-suite Spacious Townhouses in A...
,
5 bedroom townhouse for sale in Lower Kabete
"
"
3 bedroom house for sale in Kitengela
,
3 bedroom Bungalows in kitengela Acacia
","
Kitengela acacia, Kitengela, Kajiado North
","
140 m²
,
3
","
KSh 5,800,000
","
3 bedroom Bungalows in kitengela Acacia
,
3 bedroom house for sale in Kitengela
"
